Year,Tickers,Portfolio_Return,SP500_Return,Beat_By
2022,"ANET,ABT,MSFT,PLTR,LLY,JPM,NFLX,AVGO,GS,TMO",-19.43,-19.95,0.52
2023,"ANET,ABT,MSFT,PLTR,LLY,JPM,NFLX,AVGO,GS,TMO",59.77,24.73,35.04
2024,"ANET,ABT,MSFT,PLTR,LLY,JPM,NFLX,AVGO,GS,TMO",81.11,24.54,56.57
2025,"ANET,ABT,MSFT,PLTR,LLY,JPM,NFLX,AVGO,GS,TMO",23.99,6.3,17.7
