tickers,weights,portfolio_return,sp500_return,beat_by
"['AMGN', 'PLTR', 'HD', 'DHR', 'MDT']","[0.062139619227957084, 0.22731769773048094, 0.3547128203728335, 0.10146670774106727, 0.2543631549276613]",0.21725047392929597,0.0629559215195552,0.15429455240974077
"['GE', 'NVDA', 'NOW', 'HON', 'KO']","[0.02847871281726521, 0.31678435244496045, 0.33551507021114274, 0.09269763182047365, 0.2265242327061579]",0.11664488324102673,0.0629559215195552,0.05368896172147153
"['PEP', 'ANET', 'LOW', 'BKNG', 'AMD']","[0.16260399933344674, 0.04694429570277003, 0.4281512720060584, 0.20515290861862098, 0.1571475243391041]",0.10079640969050674,0.0629559215195552,0.037840488170951536
"['AMGN', 'ETN', 'SPGI', 'ABBV', 'INTU']","[0.438025955776881, 0.05673903998991044, 0.07241484232842497, 0.12556659926241776, 0.3072535626423659]",0.14869361429146388,0.0629559215195552,0.08573769277190868
"['KLAC', 'AXP', 'MCD', 'GOOG', 'CVX']","[0.46667343022808977, 0.029887751920225688, 0.05720396605209972, 0.3870089574768298, 0.05922589432275503]",0.15302390182243264,0.0629559215195552,0.09006798030287744
"['APH', 'AMGN', 'WMT', 'UNH', 'VRTX']","[0.36378388862889977, 0.28232379559896364, 0.07513152745233684, 0.003866090816450565, 0.27489469750334905]",0.18100929638190189,0.0629559215195552,0.11805337486234668
