tickers,weights,portfolio_return,sp500_return,beat_by
"['CB', 'PEP', 'AMGN', 'T', 'BKNG']","[0.1594157390754272, 0.48189759643052993, 0.027455476043472173, 0.051224210078126525, 0.2800069783724441]",0.31099246633949784,0.24544625131108577,0.06554621502841207
"['ORCL', 'V', 'PEP', 'SYK', 'TJX']","[0.33775507161218443, 0.11782660937368529, 0.1410605174686141, 0.37598315682627326, 0.027374644719242933]",0.35747046368893076,0.24544625131108577,0.11202421237784499
"['JPM', 'APH', 'DIS', 'MSFT', 'C']","[0.21383051873904851, 0.015393683325066486, 0.5245793196166691, 0.0497774426448219, 0.1964190356743939]",0.28970487391145294,0.24544625131108577,0.04425862260036717
"['HON', 'PLTR', 'PG', 'ADBE', 'CRM']","[0.07825527464677025, 0.07166940817345126, 0.6509829986657817, 0.016895776088412633, 0.18219654242558428]",0.4701301177335988,0.24544625131108577,0.22468386642251303
"['CRWD', 'CMCSA', 'GOOG', 'LOW', 'ANET']","[0.14179946962603657, 0.0768611163355724, 0.08914655930089382, 0.42988202934324976, 0.2623108253942475]",0.37540531963836243,0.24544625131108577,0.12995906832727666
"['GOOGL', 'LRCX', 'CMCSA', 'IBM', 'APH']","[0.14822428362744294, 0.13495121050590053, 0.1531839803696188, 0.3475544642786462, 0.21608606121839152]",0.2564368281784939,0.24544625131108577,0.01099057686740812
