tickers,weights,portfolio_return,sp500_return,beat_by
"['DIS', 'AMD', 'UNP', 'CB', 'CRWD']","[0.13843488774428594, 0.07945673270006641, 0.2109112988886186, 0.2560978079503415, 0.3150992727166876]",0.5020397849463967,0.2472948720788839,0.2547449128675128
"['CRM', 'COP', 'NFLX', 'ISRG', 'COST']","[0.03414995808234687, 0.3853997271408665, 0.36051523658699364, 0.09387994096885151, 0.12605513722094144]",0.6555730374297044,0.2472948720788839,0.4082781653508205
"['UNH', 'MU', 'C', 'ORCL', 'COST']","[0.09895977597671296, 0.41319328269276956, 0.035735441347337915, 0.14498434945346989, 0.30712715052970974]",0.303113925158933,0.2472948720788839,0.055819053080049086
"['MS', 'TJX', 'TSLA', 'MCD', 'META']","[0.21619944393743443, 0.18499976652713865, 0.22378035787347336, 0.21654932727714787, 0.15847110438480572]",0.5733544587440123,0.2472948720788839,0.32605958666512835
"['SYK', 'TJX', 'PGR', 'LIN', 'COF']","[0.048094052042137604, 0.1613076360035109, 0.1356989645535783, 0.4102920466162072, 0.244607300784566]",0.2642157899076274,0.2472948720788839,0.016920917828743498
"['VZ', 'PG', 'GOOG', 'ETN', 'AMAT']","[0.23470657052003585, 0.3990456187277047, 0.17082468356040967, 0.13805971621177757, 0.05736341098007223]",0.48710352128132883,0.2472948720788839,0.23980864920244493
"['XOM', 'SNPS', 'ANET', 'BLK', 'KKR']","[0.4363235019611597, 0.12374674434576068, 0.03708977010887856, 0.3875225548958396, 0.015317428688361416]",0.7176634219217901,0.2472948720788839,0.4703685498429062
