tickers,weights,portfolio_return,sp500_return,beat_by
"['GE', 'BKNG', 'WELL', 'ADBE', 'MRK']","[0.013273250042855572, 0.13025198759423096, 0.25080270883525, 0.5760237557094973, 0.029648297818166077]",0.19540550625432584,-0.19953050663444405,0.3949360128887699
"['AAPL', 'GOOGL', 'UNP', 'KO', 'APH']","[0.21086261692369915, 0.286140424145613, 0.25651802824420217, 0.1470471249827244, 0.0994318057037614]",-0.19484885605574842,-0.19953050663444405,0.004681650578695629
"['TXN', 'VRTX', 'ACN', 'DHR', 'BAC']","[0.06997990506549791, 0.0488082608230503, 0.36562961323496257, 0.42732630397143484, 0.08825591690505438]",-0.11010478214808173,-0.19953050663444405,0.08942572448636232
"['UNH', 'CB', 'ETN', 'TMUS', 'ABT']","[0.08821540582968536, 0.35720594921902643, 0.21767300112631946, 0.1945294113722104, 0.14237623245275827]",0.09177754123775661,-0.19953050663444405,0.29130804787220066
"['KO', 'HD', 'KLAC', 'ADBE', 'C']","[0.003960726335744803, 0.4127126884950577, 0.08601565997160145, 0.2947804145211838, 0.20253051067641228]",-0.1276754169856652,-0.19953050663444405,0.07185508964877885
"['ABT', 'TJX', 'MA', 'INTU', 'HON']","[0.1521470826834466, 0.2346138522984126, 0.38910519159603885, 0.06569745442835367, 0.15843641899374822]",-0.16183466585073003,-0.19953050663444405,0.03769584078371402
"['AMGN', 'PGR', 'LOW', 'ANET', 'AXP']","[0.2557611788561619, 0.12425748490644775, 0.35044152101424475, 0.1793584351514182, 0.0901813800717274]",-0.010525864079261149,-0.19953050663444405,0.1890046425551829
